year,country,Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Agricultural land (sq. km),Agricultural land (% of land area),Arable land (hectares per person),Arable land (% of land area),Land under cereal production (hectares),Permanent cropland (% of land area),Forest area (sq. km),Forest area (% of land area),Cereal production (metric tons),Crop production index (2014-2016 = 100),Food production index (2014-2016 = 100),Livestock production index (2014-2016 = 100),Cereal yield (kg per hectare),"Access to electricity, rural (% of rural population)","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","Agriculture, forestry, and fishing, value added (current US$)","Agriculture, forestry, and fishing, value added (% of GDP)",Rural population,Rural population growth (annual %),Rural population (% of total population),Agricultural raw materials imports (% of merchandise imports)
1960,ABW,,,,,,,,,,,,,,,,,,,,27035.0,,49.224,
1960,AFE,,,,,,,,,,,,,,,,,,,,111111891.0,,85.4233235418162,
1960,AFG,,,,,,,,,,,,,,,,,,,,8276009.0,,91.599,
1960,AFW,,,,,,,,,,,,,,,,,,,,83269407.0,,85.2899943292353,
1960,AGO,,,,,,,,,,,,,,,,,,,,4685731.0,,89.565,
1960,ALB,,,,,,,,,,,,,,,,,,,,1114818.0,,69.295,
1960,AND,,,,,,,,,,,,,,,,,,,,3951.0,,41.55,
1960,ARB,,,,,,,,,,,,,,,,,,,,63153544.0,,68.9894640381383,
1960,ARE,,,,,,,,,,,,,,,,,,,,34804.0,,26.5,
1960,ARG,,,,,,,,,,,,,,,,,,,,5379673.0,,26.389,
1960,ARM,,,,,,,,,,,,,,,,,,,,908090.0,,48.725,
1960,ASM,,,,,,,,,,,,,,,,,,,,6803.0,,33.789,
1960,ATG,,,,,,,,,,,,,,,,,,,,33553.0,,60.344,
1960,AUS,,,,,,,,,,,,,,,,,,,,1898168.0,,18.471,
1960,AUT,,,,,,,,,,,,,,,,,,,,2486372.0,,35.28,
1960,AZE,,,,,,,,,,,,,,,,,,,,1843539.0,,47.337,
1960,BDI,,,,,,,,,,,,,,,,,,,,2706844.0,,97.923,
1960,BEL,,,,,,,,,,,,,,,,,,,,690173.0,,7.54000000000001,
1960,BEN,,,,,,,,,,,,,,,,,,104406728.746183,46.1577230946704,2283808.0,,90.725,
1960,BFA,,,,,,,,,,,,,,,,,,127169375.623047,38.4845333396091,4554026.0,,95.3,
1960,BGD,,,,,,,,,,,,,,,,,,2456965979.16667,57.4743123752637,49167258.0,,94.865,
1960,BGR,,,,,,,,,,,,,,,,,,,,4948578.0,,62.9,
1960,BHR,,,,,,,,,,,,,,,,,,,,29256.0,,17.68,
1960,BHS,,,,,,,,,,,,,,,,,,,,46862.0,,40.288,
1960,BIH,,,,,,,,,,,,,,,,,,,,2656606.0,,80.96,
1960,BLR,,,,,,,,,,,,,,,,,,,,5541766.0,,67.599,
1960,BLZ,,,,,,,,,,,,,,,,,,,,41981.0,,45.972,
1960,BMU,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
1960,BOL,,,,,,,,,,,,,,,,,,,,2341275.0,,63.238,
1960,BRA,,,,,,,,,,,,,,,,,,0.0,0.0,38988969.0,,53.861,
1960,BRB,,,,,,,,,,,,,,,,,,,,145977.0,,63.223,
1960,BRN,,,,,,,,,,,,,,,,,,,,50004.0,,56.599,
1960,BTN,,,,,,,,,,,,,,,,,,,,216026.0,,96.404,
1960,BWA,,,,,,,,,,,,,,,,,,13144713.2497151,43.222960296131,500370.0,,96.94,
1960,CAF,,,,,,,,,,,,,,,,,,,,1360174.0,,79.9,
1960,CAN,,,,,,,,,,,,,,,,,,,,5540976.0,,30.939,
1960,CEB,,,,,,,,,,,,,,,,,,,,50720764.0,,55.4921072856099,
1960,CHE,,,,,,,,,,,,,,,,,,,,1549119.0,,29.076,
1960,CHI,,,,,,,,,,,,,,,,,,,,67925.0,,61.3,
1960,CHL,,,,,,,,,,,,,,,,,,431719090.909091,10.5041141340411,2622443.0,,32.164,
1960,CHN,,,,,,,,,,,,,,,,,,13839416461.6345,23.1752941976736,558984648.0,,83.797,
1960,CIV,,,,,,,,,,,,,,,,,,261674780.361945,47.9079229501998,3024199.0,,82.321,
1960,CMR,,,,,,,,,,,,,,,,,,,,4440039.0,,86.063,
1960,COD,,,,,,,,,,,,,,,,,,,,11860785.0,,77.7,
1960,COG,,,,,,,,,,,,,,,,,,31089329.961776,23.6004633237329,722794.0,,68.399,
1960,COL,,,,,,,,,,,,,,,,,,,,8385528.0,,53.732,
1960,COM,,,,,,,,,,,,,,,,,,,,172887.0,,87.449,
1960,CPV,,,,,,,,,,,,,,,,,,,,174994.0,,83.321,
1960,CRI,,,,,,,,,,,,,,,,,,133740219.647641,26.3520345148027,872776.0,,65.746,
1960,CSS,,,,,,,,,,,,,,,,,,105848577.580616,16.5092690869662,1089626.0,,63.5942747943423,
1960,CUB,,,,,,,,,,,,,,,,,,,,3010969.0,,41.599,
1960,CUW,,,,,,,,,,,,,,,,,,,,31568.0,,25.29,
1960,CYM,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
1960,CYP,,,,,,,,,,,,,,,,,,,,377535.0,,64.372,
1960,CZE,,,,,,,,,,,,,,,,,,,,3884203.0,,40.452,
1960,DEU,,,,,,,,,,,,,,,,,,,,20836712.0,,28.616,
1960,DJI,,,,,,,,,,,,,,,,,,,,42732.0,,49.675,
1960,DMA,,,,,,,,,,,,,,,,,,,,36902.0,,62.154,
1960,DNK,,,,,,,,,,,,,,,,,,,,1205031.0,,26.313,
1960,DOM,,,,,,,,,,,,,,,,,,,,2281593.0,,69.809,
1960,DZA,,,,,,,,,,,,,,,,,,,,7939178.0,,69.49,
1960,EAP,,,,,,,,,,,,,,,,,,23786317546.5197,29.4558781938176,744085644.0,,83.0488381868313,
1960,EAR,,,,,,,,,,,,,,,,,,,,747237608.0,,77.1215188762281,
1960,EAS,,,,,,,,,,,,,,,,,,38736337906.368,24.6498875514344,806878185.0,,77.3732676602965,
1960,ECA,,,,,,,,,,,,,,,,,,,,78354391.0,,61.2978847706373,
1960,ECS,,,,,,,,,,,,,,,,,,,,296417298.0,,44.4468413668786,
1960,ECU,,,,,,,,,,,,,,,,,,696475517.868163,33.6548595411915,3035589.0,,66.122,
1960,EGY,,,,,,,,,,,,,,,,,,1162984312.53644,27.6488257782632,16712396.0,,62.136,
1960,EMU,,,,,,,,,,,,,,,,,,,,103740137.0,,38.4010859651621,
1960,ERI,,,,,,,,,,,,,,,,,,,,877247.0,,90.201,
1960,ESP,,,,,,,,,,,,,,,,,,,,13227520.0,,43.433,
1960,EST,,,,,,,,,,,,,,,,,,,,514503.0,,42.467,
1960,ETH,,,,,,,,,,,,,,,,,,,,20001530.0,,93.567,
1960,EUU,,,,,,,,,,,,,,,,,,,,147792378.0,,41.316148721491,
1960,FCS,,,,,,,,,,,,,,,,,,,,190091961.0,,77.7594271581416,
1960,FIN,,,,,,,,,,,,,,,,,,,,1980489.0,,44.71,
1960,FJI,,,,,,,,,,,,,,,,,,,,284712.0,,70.319,
1960,FRA,,,,,,,,,,,,,,,,,,6095192439.27564,9.86965750039441,18073822.0,,38.12,
1960,FRO,,,,,,,,,,,,,,,,,,,,26830.0,,78.617,
1960,FSM,,,,,,,,,,,,,,,,,,,,33453.0,,77.688,
1960,GAB,,,,,,,,,,,,,,,,,,45533967.6627552,32.1865389648732,423183.0,,82.602,
1960,GBR,,,,,,,,,,,,,,,,,,,,11295344.0,,21.556,
1960,GEO,,,,,,,,,,,,,,,,,,,,2075477.0,,56.931,
1960,GHA,,,,,,,,,,,,,,,,,,497257403.584668,40.8515535097814,5342593.0,,76.748,
1960,GIB,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
1960,GIN,,,,,,,,,,,,,,,,,,,,3184286.0,,89.528,
1960,GMB,,,,,,,,,,,,,,,,,,,,349779.0,,87.871,
1960,GNB,,,,,,,,,,,,,,,,,,,,499075.0,,86.4,
1960,GNQ,,,,,,,,,,,,,,,,,,,,200906.0,,74.463,
1960,GRC,,,,,,,,,,,,,,,,,,,,3671291.0,,44.064,
1960,GRD,,,,,,,,,,,,,,,,,,,,65528.0,,69.668,
1960,GRL,,,,,,,,,,,,,,,,,,,,13476.0,,41.466,
1960,GTM,,,,,,,,,,,,,,,,,,,,2799005.0,,68.879,
1960,GUM,,,,,,,,,,,,,,,,,,,,34660.0,,49.853,
1960,GUY,,,,,,,,,,,,,,,,,,40133233.0002508,23.5777930089102,404040.0,,70.991,
1960,HKG,,,,,,,,,,,,,,,,,,,,460971.0,,14.8,
1960,HND,,,,,,,,,,,,,,,,,,113500000.0,33.8149858483539,1593003.0,,77.253,
1960,HPC,,,,,,,,,,,,,,,,,,,,143326969.0,,87.5811256325377,
1960,HRV,,,,,,,,,,,,,,,,,,,,2891751.0,,69.846,
1960,HTI,,,,,,,,,,,,,,,,,,,,3256796.0,,84.407,
1960,HUN,,,,,,,,,,,,,,,,,,,,4401831.0,,44.089,
1960,IBD,,,,,,,,,,,,,,,,,,84634160096.4192,26.6578714136442,1399589660.0,,73.9076379651821,
1960,IBT,,,,,,,,,,,,,,,,,,104327078412.019,28.8282163316212,1740100361.0,,76.0465736780594,
1960,IDA,,,,,,,,,,,,,,,,,,,,340510701.0,,86.3139464999033,
1960,IDB,,,,,,,,,,,,,,,,,,,,98309262.0,,81.3806287499224,
1960,IDN,,,,,,,,,,,,,,,,,,,,75417205.0,,85.414,
1960,IDX,,,,,,,,,,,,,,,,,,,,242201439.0,,88.4913380314634,
1960,IMN,,,,,,,,,,,,,,,,,,,,21930.0,,44.877,
1960,IND,,,,,,,,,,,,,,,,,,15456767924.5679,41.7413351234112,357843430.0,,82.076,
1960,IRL,,,,,,,,,,,,,,,,,,,,1550525.0,,54.816,
1960,IRN,,,,,,,,,,,,,,,,,,1087601066.13861,25.9006015324091,14227383.0,,66.265,
1960,IRQ,,,,,,,,,,,,,,,,,,,,4009662.0,,57.101,
1960,ISL,,,,,,,,,,,,,,,,,,,,34588.0,,19.7,
1960,ISR,,,,,,,,,,,,,,,,,,,,489438.0,,23.152,
1960,ITA,,,,,,,,,,,,,,,,,,,,20400656.0,,40.639,
1960,JAM,,,,,,,,,,,,,,,,,,,,1092815.0,,66.231,
1960,JOR,,,,,,,,,,,,,,,,,,,,419233.0,,49.121,
1960,JPN,,,,,,,,,,,,,,,,,,,,34236372.0,,36.728,
1960,KAZ,,,,,,,,,,,,,,,,,,,,5262118.0,,55.802,
1960,KEN,,,,,,,,,,,,,,,,,,279691874.12325,35.3474135345391,7128778.0,,92.638,
1960,KGZ,,,,,,,,,,,,,,,,,,,,1429786.0,,65.819,
1960,KHM,,,,,,,,,,,,,,,,,,,,4889437.0,,89.715,
1960,KIR,,,,,,,,,,,,,,,,,,,,39475.0,,83.71,
1960,KNA,,,,,,,,,,,,,,,,,,,,40382.0,,72.356,
1960,KOR,,,,,,,,,,,,,,,,,,1447920792.07921,36.5746298519408,18081445.0,,72.29,
1960,KWT,,,,,,,,,,,,,,,,,,,,78098.0,,25.107,
