year,country,Electricity production from natural gas sources (% of total),"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",Population growth (annual %),"Population, total"
1960,ABW,,,,54922.0
1960,AFE,,,,130072080.0
1960,AFG,,,,9035043.0
1960,AFW,,,,97630925.0
1960,AGO,,,,5231654.0
1960,ALB,,,,1608800.0
1960,AND,,,,9510.0
1960,ARB,,,,91540853.0
1960,ARE,,,,131334.0
1960,ARG,,,,20386045.0
1960,ARM,,,,1863705.0
1960,ASM,,,,20133.0
1960,ATG,,,,55603.0
1960,AUS,,,,10276477.0
1960,AUT,,,,7047539.0
1960,AZE,,,,3894500.0
1960,BDI,,,,2764258.0
1960,BEL,,,,9153489.0
1960,BEN,,,,2517286.0
1960,BFA,,,,4778621.0
1960,BGD,,,,51828660.0
1960,BGR,,,,7867374.0
1960,BHR,,,,165477.0
1960,BHS,,,,116317.0
1960,BIH,,,,3281381.0
1960,BLR,,,,8198000.0
1960,BLZ,,,,91318.0
1960,BMU,,,,42208.0
1960,BOL,,,,3702323.0
1960,BRA,,,,72388126.0
1960,BRB,,,,230893.0
1960,BRN,,,,88347.0
1960,BTN,,,,224084.0
1960,BWA,,,,516165.0
1960,CAF,,,,1702346.0
1960,CAN,,,,17909356.0
1960,CEB,,,,91401764.0
1960,CHE,,,,5327827.0
1960,CHI,,,,110808.0
1960,CHL,,,,8153350.0
1960,CHN,,,,667070000.0
1960,CIV,,,,3673666.0
1960,CMR,,,,5159057.0
1960,COD,,,,15264846.0
1960,COG,,,,1056732.0
1960,COL,,,,15606209.0
1960,COM,,,,197700.0
1960,CPV,,,,210024.0
1960,CRI,,,,1327496.0
1960,CSS,,,,1713405.0
1960,CUB,,,,7238081.0
1960,CUW,,,,124826.0
1960,CYM,,,,8428.0
1960,CYP,,,,586490.0
1960,CZE,,,,9602006.0
1960,DEU,,,,72814900.0
1960,DJI,,,,86024.0
1960,DMA,,,,59372.0
1960,DNK,,,,4579603.0
1960,DOM,,,,3268336.0
1960,DZA,,,,11424922.0
1960,EAP,,,,895961535.0
1960,EAR,,,,968909356.0
1960,EAS,,,,1042838451.0
1960,ECA,,,,128810451.0
1960,ECS,,,,667887811.0
1960,ECU,,,,4590891.0
1960,EGY,,,,26896479.0
1960,EMU,,,,270148970.0
1960,ERI,,,,972547.0
1960,ESP,,,,30455000.0
1960,EST,,,,1211537.0
1960,ETH,,,,21376693.0
1960,EUU,,,,357710931.0
1960,FCS,,,,245446477.0
1960,FIN,,,,4429634.0
1960,FJI,,,,404887.0
1960,FRA,,,,47412964.0
1960,FRO,,,,34127.0
1960,FSM,,,,43061.0
1960,GAB,,,,512316.0
1960,GBR,,,,52400000.0
1960,GEO,,,,3645600.0
1960,GHA,,,,6961215.0
1960,GIB,,,,21839.0
1960,GIN,,,,3556749.0
1960,GMB,,,,398060.0
1960,GNB,,,,577633.0
1960,GNQ,,,,269807.0
1960,GRC,,,,8331725.0
1960,GRD,,,,94058.0
1960,GRL,,,,32500.0
1960,GTM,,,,4063655.0
1960,GUM,,,,69525.0
1960,GUY,,,,569143.0
1960,HKG,,,,3114671.0
1960,HND,,,,2062060.0
1960,HPC,,,,163650527.0
1960,HRV,,,,4140181.0
1960,HTI,,,,3858443.0
1960,HUN,,,,9983967.0
1960,IBD,,,,1893700976.0
1960,IBT,,,,2289188361.0
1960,IDA,,,,395487385.0
1960,IDB,,,,120801801.0
1960,IDN,,,,88296070.0
1960,IDX,,,,274685584.0
1960,IMN,,,,48868.0
1960,IND,,,,435990338.0
1960,IRL,,,,2828600.0
1960,IRN,,,,21470434.0
1960,IRQ,,,,7022052.0
1960,ISL,,,,175574.0
1960,ISR,,,,2114020.0
1960,ITA,,,,50199700.0
1960,JAM,,,,1650005.0
1960,JOR,,,,853471.0
1960,JPN,,,,93216000.0
1960,KAZ,,,,9429981.0
1960,KEN,,,,7695307.0
1960,KGZ,,,,2172300.0
1960,KHM,,,,5449966.0
1960,KIR,,,,47157.0
1960,KNA,,,,55810.0
1960,KOR,,,,25012374.0
1960,KWT,,,,311060.0
1960,LAC,,,,194183394.0
1960,LAO,,,,2121514.0
1960,LBN,,,,1794406.0
1960,LBR,,,,1139522.0
1960,LBY,,,,1492890.0
1960,LCA,,,,92585.0
1960,LCN,,,,218624695.0
1960,LDC,,,,245048596.0
1960,LIE,,,,16451.0
1960,LKA,,,,9661389.0
1960,LMY,,,,2106419056.0
1960,LSO,,,,736500.0
1960,LTE,,,,1094880069.0
1960,LTU,,,,2778550.0
1960,LUX,,,,313970.0
1960,LVA,,,,2120979.0
1960,MAC,,,,173315.0
1960,MAF,,,,4250.0
1960,MAR,,,,11624933.0
1960,MCO,,,,21808.0
1960,MDA,,,,2058020.0
1960,MDG,,,,5111029.0
1960,MDV,,,,91189.0
1960,MEA,,,,103189039.0
1960,MEX,,,,36724615.0
1960,MHL,,,,14703.0
1960,MIC,,,,1970293325.0
1960,MKD,,,,1435059.0
1960,MLI,,,,5402550.0
1960,MLT,,,,326550.0
1960,MMR,,,,21730250.0
1960,MNA,,,,97138700.0
1960,MNE,,,,480579.0
1960,MNG,,,,977595.0
1960,MNP,,,,8736.0
1960,MOZ,,,,6713695.0
1960,MRT,,,,824298.0
1960,MUS,,,,676683.0
1960,MWI,,,,3628134.0
