year,country,"Net financial flows, IBRD (NFL, current US$)","Net financial flows, IDA (NFL, current US$)","IFC, private nonguaranteed (NFL, US$)"
1970,AFE,13175000.0,41729000.0,0.0
1970,AFW,32291000.0,19127000.0,0.0
1970,ARB,,,0.0
1970,ARG,27096000.0,,0.0
1970,BDI,-288000.0,358000.0,0.0
1970,BEN,,145000.0,0.0
1970,BFA,,11000.0,0.0
1970,BLZ,,,0.0
1970,BOL,,1879000.0,0.0
1970,BRA,46914000.0,,0.0
1970,BRB,0.0,,
1970,BWA,,1607000.0,0.0
1970,CAF,,220000.0,0.0
1970,CEB,0.0,0.0,0.0
1970,CHL,18938000.0,,
1970,CIV,3407000.0,,0.0
1970,CMR,3250000.0,3593000.0,0.0
1970,COD,-1310000.0,748000.0,0.0
1970,COG,-700000.0,,0.0
1970,COL,40974000.0,,0.0
1970,COM,,,0.0
1970,CRI,2952000.0,,0.0
1970,CSS,8380000.0,299000.0,0.0
1970,CZE,0.0,0.0,
1970,DJI,,,0.0
1970,DOM,10549000.0,,0.0
1970,DZA,-2614000.0,,0.0
1970,EAP,18698000.0,3976000.0,0.0
1970,EAR,183175000.0,227309000.0,0.0
1970,EAS,42288000.0,5076000.0,0.0
1970,ECA,42012000.0,7233000.0,0.0
1970,ECS,46912000.0,7233000.0,0.0
1970,ECU,-222000.0,2143000.0,0.0
1970,EGY,-5500000.0,,0.0
1970,EST,0.0,0.0,
1970,ETH,2621000.0,2821000.0,0.0
1970,EUU,,,0.0
1970,FCS,20987000.0,16313000.0,0.0
1970,FJI,,,0.0
1970,GAB,-965000.0,,0.0
1970,GHA,-1376000.0,3938000.0,0.0
1970,GIN,15236000.0,,0.0
1970,GMB,,,0.0
1970,GNB,,,0.0
1970,GRC,4900000.0,0.0,
1970,GRD,,,0.0
1970,GTM,2074000.0,,0.0
1970,GUY,254000.0,299000.0,0.0
1970,HND,9209000.0,2052000.0,0.0
1970,HPC,,,0.0
1970,HTI,,,0.0
1970,HUN,0.0,,0.0
1970,IBD,273712000.0,196038000.0,0.0
1970,IBT,414428000.0,285651000.0,0.0
1970,IDA,102547000.0,89613000.0,0.0
1970,IDB,54164000.0,35716000.0,0.0
1970,IDN,,3139000.0,0.0
1970,IDX,48383000.0,53897000.0,0.0
1970,IND,-10235000.0,172867000.0,0.0
1970,JAM,6042000.0,,0.0
1970,JOR,,399000.0,0.0
1970,KEN,1838000.0,6628000.0,0.0
1970,KNA,0.0,,
1970,KOR,7228000.0,1100000.0,
1970,LAC,228595000.0,8218000.0,0.0
1970,LAO,,,0.0
1970,LBN,-1402000.0,,0.0
1970,LBR,1749000.0,,0.0
1970,LCN,250656000.0,8517000.0,0.0
1970,LDC,,,0.0
1970,LKA,-808000.0,989000.0,0.0
1970,LMY,376005000.0,285352000.0,0.0
1970,LSO,,,0.0
1970,LTE,182131000.0,5915000.0,0.0
1970,LTU,0.0,,
1970,LVA,0.0,,
1970,MAR,9029000.0,1753000.0,0.0
1970,MDG,1356000.0,5018000.0,0.0
1970,MEA,7222000.0,7793000.0,0.0
1970,MEX,75908000.0,,0.0
1970,MIC,358948000.0,253580000.0,0.0
1970,MLI,,1200000.0,0.0
