year,country,"Foreign direct investment, net outflows (BoP, current US$)","Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)","Portfolio equity, net inflows (BoP, current US$)","Personal transfers, receipts (BoP, current US$)","Personal remittances, received (current US$)",Market capitalization of listed domestic companies (current US$),Market capitalization of listed domestic companies (% of GDP),"Listed domestic companies, total","Stocks traded, total value (current US$)","Stocks traded, total value (% of GDP)","Automated teller machines (ATMs) (per 100,000 adults)","Commercial bank branches (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)",Domestic credit to private sector by banks (% of GDP),Bank liquid reserves to bank assets ratio (%),Total reserves in months of imports,Monetary Sector credit to private sector (% GDP),Broad money (% of GDP),"Inflation, consumer prices (annual %)","Claims on central government, etc. (% GDP)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Net migration
1960,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-788.0
1960,AFE,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-102704.0
1960,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2606.0
1960,AFW,,,,,,,,,,,,,,,6.15642010744633,,,5.70963753501598,11.2734177710966,,-3.01348838420195,,,,,,,,,,-759.0
1960,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40935.0
1960,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13734.0
1960,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.0
1960,ARB,,,,,,,,,,,,,,,12.8735427818673,,,13.2802516686567,24.9644348803996,,7.98245069808655,,,,,,,,,,-78553.0
1960,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3102.0
1960,ARG,,,,,,,,,,,,,,,10.7977469263099,,,10.7977469263099,21.1392510247476,,8.06028995907643,,,,,,,,,,20387.0
1960,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11827.0
1960,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-257.0
1960,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-351.0
1960,AUS,,,,91840014.7054232,,,,,,,,,,,18.6974840495967,,,19.1152040447815,44.5455639821837,3.72881355932203,19.2399375509964,,,,,,,,,,85707.0
1960,AUT,,,,,,,,,,,,,,,,,,,,1.94574935198645,,,,,,,,,,,-1732.0
1960,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-148.0
1960,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14620.0
1960,BEL,,,,,,,,,,,,,,,,,,,,0.299467254769695,,,,,,,,,,,9893.0
1960,BEN,,,,,,,,,,,,,,,5.01243663962303,,,5.01243663962303,,,,,,,,,,,,,-4722.0
1960,BFA,,,,,,,,,,,,,,,1.13548061505272,,,,,7.78816199376884,,,,,,,,,,,-23220.0
1960,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13580.0
1960,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1112.0
1960,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266.0
1960,BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2290.0
1960,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6481.0
1960,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27382.0
1960,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-577.0
1960,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57.0
1960,BOL,,,,,,,,,,,,,,,1.67894619334673,,,1.67894619334673,9.70082607724939,11.5331525756195,13.183746371958,,,,,,,,,,-3144.0
1960,BRA,,,,,,,,,,,,,,,12.2227108950016,,,17.9727265602595,21.9317537396174,,8.45220881942273,,,,,,,,,,4066.0
1960,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3315.0
1960,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.0
1960,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481.0
1960,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4331.0
1960,CAF,,,,,,,,,,,,,,,11.1636350240002,,,11.1636350240002,,,-0.0727272640000011,,,,,,,,,,474.0
1960,CAN,,,,70257019.8164936,,,,,,,,,,,18.2723833362264,,2.89682104528283,18.4986273703004,36.9692919948163,1.35869565217392,8.19054244703969,,,,,,,,,,49694.0
1960,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-58018.0
1960,CHE,,,,,,,,,,,,,,,87.7884734668407,,,87.7884734668407,90.3229450564068,1.43879470321092,11.8421757463542,,,,,,,,,,22313.0
1960,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.0
1960,CHL,,,,,,,,,,,,,,,22.11900022119,,,22.11900022119,0.0,,0.0,,,,,,,,,,-27184.0
1960,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16927.0
1960,CIV,,,,,,,,,,,,,,,18.8835009617134,,,,,,,,,,,,,,,,31307.0
1960,CMR,,,,,,,,,,,,,,,9.70117467015458,,,9.70117467015458,9.93749633264701,,-1.62018249111411,,,,,,,,,,0.0
1960,COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27673.0
1960,COG,,,,,,,,,,,,,,,22.2290970744483,,,22.2290970744483,23.8699635715873,,-1.2693495543905,,,,,,,,,,0.0
1960,COL,,,,,,,,,,,,,,,20.5408517686294,,,22.9486254379045,20.4361659569218,5.81407628204986,4.2136039212314,,,,,,,,,,-49115.0
1960,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1406.0
1960,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2267.0
1960,CRI,,,,,,,,,,,,,,,27.0477170391388,,,27.0477170391388,19.646913501352,0.790205817960074,0.360076884455383,,,,,,,,,,910.0
1960,CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13827.0
1960,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25396.0
1960,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1530.0
1960,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.0
1960,CYP,,,,,,,,,,,,,,,,,,,,0.827300930713946,,,,,,,,,,,3766.0
1960,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2748.0
1960,DEU,,,,,,,,,,,,,,,,,,,,1.53661234295201,,,,,,,,,,,212666.0
1960,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.0
1960,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-759.0
1960,DNK,,,,,,,,,,,,,,,26.496748524894,,,43.7348840108541,47.1943461099641,1.25523012552923,6.15420099736414,,,,,,,,,,-4047.0
1960,DOM,,,,,,,,,,,,,,,5.84473788432684,,,5.84473788432684,19.1998895894808,-3.56219179976055,5.56216785938483,,,,,,,,,,-13344.0
1960,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55212.0
1960,EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102382.0
