year,country,Electricity production from hydroelectric sources (% of total),Electric power transmission and distribution losses (% of output),Electricity production from nuclear sources (% of total),Electric power consumption (kWh per capita),"Annual freshwater withdrawals, total (billion cubic meters)","Annual freshwater withdrawals, total (% of internal resources)","Industrial design applications, nonresident, by count","Industrial design applications, resident, by count","Trademark applications, nonresident, by count","Trademark applications, resident, by count","Air transport, registered carrier departures worldwide","Air transport, freight (million ton-km)","Air transport, passengers carried",Container port traffic (TEU: 20 foot equivalent units),Mobile cellular subscriptions,Mobile cellular subscriptions (per 100 people),Fixed telephone subscriptions,Fixed telephone subscriptions (per 100 people),Fixed broadband subscriptions,Fixed broadband subscriptions (per 100 people),Secure Internet servers,Secure Internet servers (per 1 million people),"Individuals using the Internet, female (% of female population)","Individuals using the Internet, male (% of male population)",Individuals using the Internet (% of population)
1960,ABW,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,AFE,,,,,,,,,,,,,,,0.0,0.0,802701.0,0.83700459546021,,,,,,,
1960,AFG,,,,,,,,,,,,,,,0.0,0.0,7700.0,0.089301599,,,,,,,
1960,AFW,,,,,,,,,,,,,,,0.0,0.0,42041.0,0.060733011696502,,,,,,,
1960,AGO,,,,,,,,,,,,,,,0.0,0.0,6666.0,0.124430766,,,,,,,
1960,ALB,,,,,,,,,,,,,,,0.0,0.0,6845.0,0.400014259,,,,,,,
1960,AND,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,ARB,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,ARG,,,,,,,,,,,,,,,0.0,0.0,914656.0,4.494680621,,,,,,,
1960,ARM,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,ASM,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,ATG,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,AUS,,,,,,,,,,,,,,,0.0,0.0,1561968.0,15.18442454,,,,,,,
1960,AUT,,,,,,,,,,,,,,,0.0,0.0,428807.0,6.085344139,,,,,,,
1960,AZE,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,BDI,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,BEL,,,,,,,,,,,,,,,0.0,0.0,779262.0,8.55511705,,,,,,,
1960,BEN,,,,,,,,,,,,,,,0.0,0.0,2176.0,0.086614411,,,,,,,
1960,BFA,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,BGD,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,BGR,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,BHR,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,BHS,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,BIH,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,BLR,,,,,,,,,,,,,,,0.0,0.0,75000.0,0.894008498,,,,,,,
1960,BLZ,,,,,,,,,,,,,,,0.0,0.0,1018.0,1.113749002,,,,,,,
1960,BMU,,,,,,,,,,,,,,,0.0,0.0,9300.0,22.12915814,,,,,,,
1960,BOL,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,BRA,,,,,,,,,,,,,,,0.0,0.0,650000.0,0.889283944,,,,,,,
1960,BRB,,,,,,,,,,,,,,,0.0,0.0,6933.0,2.981294345,,,,,,,
1960,BRN,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,BTN,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
1960,BWA,,,,,,,,,,,,,,,0.0,0.0,400.0,0.077993386,,,,,,,
1960,CAF,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,CAN,,,,,,,,,,,,,,,0.0,0.0,4987502.0,27.84858372,,,,,,,
1960,CEB,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,CHE,,,,,,,,,,,,,,,0.0,0.0,1090975.0,20.47520838,,,,,,,
1960,CHL,,,,,,,,,,,,,,,0.0,0.0,131803.0,1.618839522,,,,,,,
1960,CHN,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,CIV,,,,,,,,,,,,,,,0.0,0.0,3690.0,0.099496826,,,,,,,
1960,CMR,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,COD,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,COG,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,COL,,,,,,,,,,,,,,,0.0,0.0,274937.0,1.752565451,,,,,,,
1960,COM,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
1960,CPV,,,,,,,,,,,,,,,0.0,0.0,188.0,0.089588655,,,,,,,
1960,CRI,,,,,,,,,,,,,,,0.0,0.0,10000.0,0.742775395,,,,,,,
1960,CSS,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,CUB,,,,,,,,,,,,,,,0.0,0.0,155402.0,2.138345602,,,,,,,
1960,CYM,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,CYP,,,,,,,,,,,,,,,0.0,0.0,10630.0,1.855378241,,,,,,,
1960,CZE,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,DEU,,,,,,,,,,,,,,,0.0,0.0,3220990.0,4.408468529,,,,,,,
1960,DJI,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,DMA,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,DNK,,,,,,,,,,,,,,,0.0,0.0,833987.0,18.20245947,,,,,,,
1960,DOM,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,DZA,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,EAP,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,EAR,,,,,,,,,,,,,,,0.0,0.0,3271621.0,0.402379276260949,,,,,,,
1960,EAS,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,ECA,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,ECS,,,,,,,,,,,,,,,0.0,0.0,24818953.0,5.44883311547918,,,,,,,
1960,ECU,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,EGY,,,,,,,,,,,,,,,0.0,0.0,220503.0,0.815635607,,,,,,,
1960,EMU,,,,,,,,,,,,,,,0.0,0.0,13019254.0,5.0238540043625,,,,,,,
1960,ERI,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,ESP,,,,,,,,,,,,,,,0.0,0.0,1302750.0,4.28316517,,,,,,,
1960,EST,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,ETH,,,,,,,,,,,,,,,0.0,0.0,8636.0,0.039724541,,,,,,,
1960,EUU,,,,,,,,,,,,,,,0.0,0.0,16721143.0,5.3814898827719,,,,,,,
1960,FCS,,,,,,,,,,,,,,,0.0,0.0,1506742.0,0.81293944256241,,,,,,,
1960,FIN,,,,,,,,,,,,,,,0.0,0.0,428283.0,9.667410279,,,,,,,
1960,FJI,,,,,,,,,,,,,,,0.0,0.0,5164.0,1.285085394,,,,,,,
1960,FRA,,,,,,,,,,,,,,,0.0,0.0,2193711.0,4.804492814,,,,,,,
1960,FRO,,,,,,,,,,,,,,,0.0,0.0,3208.0,9.392750483,,,,,,,
1960,FSM,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,GAB,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,GBR,,,,,,,,,,,,,,,0.0,0.0,5037000.0,9.586430867,,,,,,,
1960,GEO,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,GHA,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,GIB,,,,,,,,,,,,,,,0.0,0.0,1960.0,8.981761525,,,,,,,
1960,GIN,,,,,,,,,,,,,,,0.0,0.0,2054.0,0.058405136,,,,,,,
1960,GMB,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,GNB,,,,,,,,,,,,,,,0.0,0.0,325.0,0.056234795,,,,,,,
1960,GNQ,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,GRC,,,,,,,,,,,,,,,0.0,0.0,181734.0,2.139200969,,,,,,,
1960,GRD,,,,,,,,,,,,,,,0.0,0.0,1053.0,1.122936484,,,,,,,
1960,GRL,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,GTM,,,,,,,,,,,,,,,0.0,0.0,17821.0,0.434833318,,,,,,,
1960,GUM,,,,,,,,,,,,,,,0.0,0.0,2644.0,3.653245641,,,,,,,
1960,GUY,,,,,,,,,,,,,,,0.0,0.0,5323.0,0.930610675,,,,,,,
1960,HKG,,,,,,,,,,,,,,,0.0,0.0,79145.0,2.541038845,,,,,,,
1960,HND,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,HPC,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,HRV,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,HTI,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,HUN,,,,,,,,,,,,,,,0.0,0.0,243400.0,2.4382401,,,,,,,
1960,IBD,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,IBT,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,IDA,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,IDB,,,,,,,,,,,,,,,0.0,0.0,150943.0,0.157509891389271,,,,,,,
1960,IDN,,,,,,,,,,,,,,,0.0,0.0,82862.0,0.09375345,,,,,,,
1960,IDX,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,IND,,,,,,,,,,,,,,,0.0,0.0,332399.0,0.074536515,,,,,,,
1960,IRL,,,,,,,,,,,,,,,0.0,0.0,110625.0,3.935338432,,,,,,,
1960,IRN,,,,,,,,,,,,,,,0.0,0.0,116417.0,0.544289382,,,,,,,
1960,IRQ,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1960,ISL,,,,,,,,,,,,,,,0.0,0.0,33000.0,18.79635009,,,,,,,
1960,ISR,,,,,,,,,,,,,,,,,64811.0,3.407075948,,,,,,,
1960,ITA,,,,,,,,,,,,,,,0.0,0.0,3057645.0,6.174851756,,,,,,,
1960,JAM,,,,,,,,,,,,,,,0.0,0.0,19932.0,1.213640856,,,,,,,
1960,JOR,,,,,,,,,,,,,,,0.0,0.0,11606.0,1.368735376,,,,,,,
1960,JPN,,,,,,,,,,,,,,,0.0,0.0,3632938.0,3.845809762,,,,,,,
1960,KAZ,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
