year,country,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty gap at $2.15 a day (2017 PPP) (%),Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty gap at $3.65 a day (2017 PPP) (%),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Poverty gap at $6.85 a day (2017 PPP) (%)
1963,USA,1.2,0.8,2.0,1.2,4.7,2.2
1964,USA,1.2,0.9,2.0,1.2,4.2,2.1
1965,USA,1.0,0.7,1.7,1.0,3.7,1.8
1966,USA,1.0,0.6,1.7,0.9,4.0,1.8
1967,USA,1.0,0.6,1.5,0.8,3.2,1.5
1968,GBR,0.2,0.0,0.2,0.1,1.0,0.3
1968,USA,0.7,0.5,1.2,0.7,2.7,1.3
1969,GBR,0.2,0.1,0.2,0.1,1.2,0.4
1969,USA,0.5,0.4,1.0,0.5,2.5,1.0
1970,FRA,0.0,0.0,0.2,0.1,4.0,0.8
1970,GBR,0.0,0.0,0.2,0.1,1.2,0.3
1970,USA,1.0,0.6,1.5,0.8,3.0,1.4
1971,CAN,2.2,1.5,3.0,2.0,5.7,3.0
1971,GBR,0.0,0.0,0.2,0.1,1.5,0.3
1971,USA,0.7,0.5,1.2,0.7,2.5,1.2
1972,GBR,0.2,0.1,0.5,0.2,2.0,0.5
1972,USA,0.7,0.5,1.0,0.7,2.5,1.2
1973,CAN,1.7,1.2,2.0,1.4,3.5,2.0
1973,GBR,0.0,0.0,0.0,0.0,0.7,0.1
1973,USA,0.7,0.5,1.0,0.7,2.2,1.1
1974,GBR,0.2,0.1,0.2,0.2,1.2,0.3
1974,USA,0.7,0.5,1.0,0.7,2.5,1.2
1975,CAN,1.5,1.1,2.0,1.3,3.0,1.8
1975,FRA,0.2,0.1,0.7,0.3,2.5,0.8
1975,GBR,0.2,0.1,0.2,0.1,1.2,0.3
1975,SWE,0.5,0.3,0.5,0.4,1.0,0.6
1975,USA,0.5,0.4,1.0,0.6,2.5,1.1
1976,GBR,0.0,0.0,0.2,0.0,0.7,0.2
1976,USA,0.5,0.4,0.7,0.5,2.0,0.9
1977,CAN,1.2,0.9,1.7,1.2,2.7,1.7
1977,GBR,0.2,0.1,0.2,0.2,1.2,0.3
1977,IND,63.5,22.0,89.1,45.6,97.8,68.7
1977,ITA,0.2,0.1,1.0,0.3,4.0,1.1
1977,USA,0.5,0.3,0.7,0.5,2.0,0.9
1978,GBR,0.0,0.0,0.0,0.0,0.7,0.1
1978,ITA,0.5,0.3,1.0,0.4,4.2,1.4
1978,USA,0.5,0.4,0.7,0.5,2.2,0.9
1979,CAN,1.2,0.9,1.5,1.1,2.2,1.4
1979,FRA,0.2,0.1,0.5,0.2,1.2,0.5
1979,GBR,0.0,0.0,0.2,0.0,0.7,0.2
1979,ISR,0.0,0.0,0.8,0.2,9.2,2.0
1979,ITA,0.5,0.1,0.7,0.3,3.5,1.1
1979,NOR,0.2,0.2,0.5,0.3,1.2,0.5
1979,PAN,6.2,1.1,18.2,5.7,39.7,16.8
1979,USA,0.5,0.4,0.7,0.5,1.5,0.8
1980,ARG,0.0,0.0,0.0,0.0,5.7,1.0
1980,COL,20.9,7.9,37.1,16.7,60.6,32.2
1980,ESP,0.5,0.2,1.7,0.6,7.2,2.3
1980,GBR,0.0,0.0,0.2,0.1,1.0,0.2
1980,ITA,0.2,0.0,0.5,0.1,2.5,0.7
1980,MDG,48.7,19.5,73.8,37.3,91.5,59.5
1980,USA,0.5,0.3,0.7,0.4,1.5,0.7
