year,country,"Net incurrence of liabilities, total (% of GDP)",Net lending (+) / net borrowing (-) (% of GDP),Grants and other revenue (% of revenue),Taxes on goods and services (% of revenue),Taxes on international trade (% of revenue),Other taxes (% of revenue),Tax revenue (% of GDP),"Taxes on income, profits and capital gains (% of revenue)",Compensation of employees (% of expense),Goods and services expense (% of expense),Interest payments (% of revenue),Interest payments (% of expense),Other expense (% of expense),Subsidies and other transfers (% of expense),CPIA business regulatory environment rating (1=low to 6=high),CPIA debt policy rating (1=low to 6=high),CPIA economic management cluster average (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),CPIA quality of budgetary and financial management rating (1=low to 6=high),CPIA financial sector rating (1=low to 6=high),CPIA fiscal policy rating (1=low to 6=high),CPIA gender equality rating (1=low to 6=high),CPIA building human resources rating (1=low to 6=high),IDA resource allocation index (1=low to 6=high),CPIA macroeconomic management rating (1=low to 6=high),CPIA quality of public administration rating (1=low to 6=high),CPIA equity of public resource use rating (1=low to 6=high),CPIA property rights and rule-based governance rating (1=low to 6=high),CPIA social protection rating (1=low to 6=high),CPIA public sector management and institutions cluster average (1=low to 6=high),CPIA efficiency of revenue mobilization rating (1=low to 6=high),CPIA policies for social inclusion/equity cluster average (1=low to 6=high),CPIA structural policies cluster average (1=low to 6=high),CPIA trade rating (1=low to 6=high),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","Armed forces personnel, total",Armed forces personnel (% of total labor force),Military expenditure (current USD),Military expenditure (% of GDP),Military expenditure (% of general government expenditure),"Internally displaced persons, new displacement associated with disasters (number of cases)","Intentional homicides, female (per 100,000 female)","Intentional homicides, male (per 100,000 male)","Intentional homicides (per 100,000 people)"
1960,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.55,,,,,
1960,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459760073.561612,2.3695451396906,,,,,
1960,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91559097.9576499,1.4581856994971,,,,,
1960,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383220247.363793,3.39734786713587,,,,,
1960,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1301005.3222945,0.871584699453552,,,,,
1960,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268378.22957238,0.682017543859649,,,,,
1960,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382729752.052851,2.67913472590723,,,,,
1960,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702442711.4107,4.18525654025553,,,,,
1960,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200093758.218136,2.34145036125234,,,,,
1960,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126791042.64183,3.11840562719812,,,,,
1960,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75960813.8658628,1.88432347552997,,,,,
1960,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1960,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2715197279.72744,3.7698628621708,,,,,
1960,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161137605.434377,2.72887755602413,,,,,
1960,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38300000.0,5.23152574784865,,,,,
1960,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43143085.155943,1.61363636363636,,,,,
1960,EAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2759458326.65729,2.26093373484938,,,,,
1960,ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53157121879589,,,,,
1960,ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36661520030218,,,,,
1960,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22400000.0,2.37623678350892,,,,,
1960,EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8516827006.04012,3.77681475445233,,,,,
1960,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232839815.943989,2.25074702204848,,,,,
1960,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15335262.6515917,,,,,,
1960,EUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13495646845.2004,3.75217346663419,,,,,
1960,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89557618.8078432,1.76904104762464,,,,,
1960,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3260127992.20532,5.42848588493053,,,,,
1960,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5129857089.89177,7.09248637082215,,,,,
1960,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20821777.3519574,1.70665901262916,,,,,
1960,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170327798.096363,4.85730295953435,,,,,
1960,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12084076.433121,1.15792223391347,,,,,
1960,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3920000.0,1.16840536512668,,,,,
1960,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1960,IDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234815198.457213,2.21458186623179,,,,,
1960,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681765681.765682,2.00401234567901,,,,,
1960,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25800590.1058045,1.33038674274387,,,,,
1960,IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98679867.9867987,2.29490883301967,,,,,
1960,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118726952.509219,7.05063185899568,,,,,
1960,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190277777.777778,7.46024831191462,,,,,
1960,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009308856.43093,2.71382598828575,,,,,
1960,JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56139977.544009,20.3967446592065,,,,,
1960,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480555555.555556,1.08059488934833,,,,,
1960,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2589998.96400041,0.327317763623496,,,,,
1960,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275643564.356436,7.15754833401892,,,,,
1960,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679953345.134063,1.92832114921096,,,,,
1960,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22906905.201382,,,,,,
