year,country,"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)",Research and development expenditure (% of GDP),Scientific and technical journal articles,"Patent applications, nonresidents","Patent applications, residents",High-technology exports (current US$),High-technology exports (% of manufactured exports)
1960,AFE,5599997.76224089,,,,,,,
1960,EAR,6599997.76224089,,,,,,,
1960,IBD,5599997.76224089,,,,,,,
1960,IBT,5599997.76224089,,,,,,,
1960,ISR,1000000.0,,,,,,,
1960,LMY,5599997.76224089,,,,,,,
1960,MEA,1000000.0,,,,,,,
1960,MIC,5599997.76224089,,,,,,,
1960,OED,1000000.0,,,,,,,
1960,SSA,5599997.76224089,,,,,,,
1960,SSF,5599997.76224089,,,,,,,
1960,TSS,5599997.76224089,,,,,,,
1960,ZAF,5599997.76224089,,,,,,,
1961,AFE,5599997.76224089,,,,,,,
1961,EAR,7599997.76224089,,,,,,,
1961,IBD,5599997.76224089,,,,,,,
1961,IBT,5599997.76224089,,,,,,,
1961,ISR,2000000.0,,,,,,,
1961,LMY,5599997.76224089,,,,,,,
1961,MEA,2000000.0,,,,,,,
1961,MIC,5599997.76224089,,,,,,,
1961,OED,2000000.0,,,,,,,
1961,SSA,5599997.76224089,,,,,,,
1961,SSF,5599997.76224089,,,,,,,
1961,TSS,5599997.76224089,,,,,,,
1961,ZAF,5599997.76224089,,,,,,,
1962,AFE,8399996.64336134,2799998.88112045,,,,,,
1962,EAR,8399996.64336134,2799998.88112045,,,,,,
1962,IBD,8399996.64336134,2799998.88112045,,,,,,
1962,IBT,8399996.64336134,2799998.88112045,,,,,,
1962,LMY,8399996.64336134,2799998.88112045,,,,,,
1962,MIC,8399996.64336134,2799998.88112045,,,,,,
1962,SSA,8399996.64336134,2799998.88112045,,,,,,
1962,SSF,8399996.64336134,2799998.88112045,,,,,,
1962,TSS,8399996.64336134,2799998.88112045,,,,,,
1962,ZAF,8399996.64336134,2799998.88112045,,,,,,
1963,AFE,15399993.8461624,1399999.44056022,,,,,,
1963,EAR,15399993.8461624,1399999.44056022,,,,,,
1963,IBD,15399993.8461624,1399999.44056022,,,,,,
1963,IBT,15399993.8461624,1399999.44056022,,,,,,
1963,LMY,15399993.8461624,1399999.44056022,,,,,,
1963,MIC,15399993.8461624,1399999.44056022,,,,,,
1963,SSA,15399993.8461624,1399999.44056022,,,,,,
1963,SSF,15399993.8461624,1399999.44056022,,,,,,
1963,TSS,15399993.8461624,1399999.44056022,,,,,,
1963,ZAF,15399993.8461624,1399999.44056022,,,,,,
1964,AFE,15399993.8461624,2799998.88112045,,,,,,
1964,EAR,15399993.8461624,2799998.88112045,,,,,,
1964,IBD,15399993.8461624,2799998.88112045,,,,,,
1964,IBT,15399993.8461624,2799998.88112045,,,,,,
1964,LMY,15399993.8461624,2799998.88112045,,,,,,
1964,MIC,15399993.8461624,2799998.88112045,,,,,,
1964,SSA,15399993.8461624,2799998.88112045,,,,,,
1964,SSF,15399993.8461624,2799998.88112045,,,,,,
1964,TSS,15399993.8461624,2799998.88112045,,,,,,
1964,ZAF,15399993.8461624,2799998.88112045,,,,,,
1965,AFE,26599989.3706442,2799998.88112045,,,,,,
1965,EAR,28599989.3706442,2799998.88112045,,,,,,
1965,IBD,26599989.3706442,2799998.88112045,,,,,,
1965,IBT,26599989.3706442,2799998.88112045,,,,,,
1965,ISR,2000000.0,,,,,,,
1965,LMY,26599989.3706442,2799998.88112045,,,,,,
1965,MEA,2000000.0,,,,,,,
1965,MIC,26599989.3706442,2799998.88112045,,,,,,
1965,OED,2000000.0,,,,,,,
1965,SSA,26599989.3706442,2799998.88112045,,,,,,
1965,SSF,26599989.3706442,2799998.88112045,,,,,,
1965,TSS,26599989.3706442,2799998.88112045,,,,,,
1965,ZAF,26599989.3706442,2799998.88112045,,,,,,
1966,AFE,26599989.3706442,2799998.88112045,,,,,,
1966,EAR,28599989.3706442,2799998.88112045,,,,,,
1966,IBD,26599989.3706442,2799998.88112045,,,,,,
1966,IBT,26599989.3706442,2799998.88112045,,,,,,
1966,ISR,2000000.0,,,,,,,
1966,LMY,26599989.3706442,2799998.88112045,,,,,,
1966,MEA,2000000.0,,,,,,,
1966,MIC,26599989.3706442,2799998.88112045,,,,,,
1966,OED,2000000.0,,,,,,,
1966,SSA,26599989.3706442,2799998.88112045,,,,,,
1966,SSF,26599989.3706442,2799998.88112045,,,,,,
1966,TSS,26599989.3706442,2799998.88112045,,,,,,
1966,ZAF,26599989.3706442,2799998.88112045,,,,,,
1967,AFE,32199987.1328851,4199998.32168067,,,,,,
1967,EAR,34199987.1328851,4199998.32168067,,,,,,
1967,ECS,65193370.1185617,64640883.9311163,,,,,,
1967,EMU,65193370.1185617,64640883.9311163,,,,,,
1967,EUU,65193370.1185617,64640883.9311163,,,,,,
1967,IBD,32199987.1328851,4199998.32168067,,,,,,
1967,IBT,32199987.1328851,4199998.32168067,,,,,,
1967,ISR,2000000.0,,,,,,,
1967,LMY,32199987.1328851,4199998.32168067,,,,,,
1967,MEA,2000000.0,,,,,,,
1967,MIC,32199987.1328851,4199998.32168067,,,,,,
1967,NLD,65193370.1185617,64640883.9311163,,,,,,
1967,OED,67193370.1185617,64640883.9311163,,,,,,
1967,PST,65193370.1185617,64640883.9311163,,,,,,
1967,SSA,32199987.1328851,4199998.32168067,,,,,,
1967,SSF,32199987.1328851,4199998.32168067,,,,,,
1967,TSS,32199987.1328851,4199998.32168067,,,,,,
1967,ZAF,32199987.1328851,4199998.32168067,,,,,,
1968,AFE,37799984.895126,5599997.76224089,,,,,,
1968,COL,7999999.99996948,7999999.99996948,,,,,,
1968,EAR,40799984.895126,5599997.76224089,,,,,,
1968,ECS,73480662.9302433,58839778.9629392,,,,,,
1968,EMU,73480662.9302433,58839778.9629392,,,,,,
1968,EUU,73480662.9302433,58839778.9629392,,,,,,
1968,IBD,45799984.8950955,13599997.7622104,,,,,,
1968,IBT,45799984.8950955,13599997.7622104,,,,,,
1968,ISR,3000000.0,,,,,,,
1968,LAC,7999999.99996948,7999999.99996948,,,,,,
1968,LCN,7999999.99996948,7999999.99996948,,,,,,
1968,LMY,45799984.8950955,13599997.7622104,,,,,,
1968,LTE,7999999.99996948,7999999.99996948,,,,,,
1968,MEA,3000000.0,,,,,,,
1968,MIC,45799984.8950955,13599997.7622104,,,,,,
1968,NLD,73480662.9302433,58839778.9629392,,,,,,
1968,OED,84480662.9302128,66839778.9629087,,,,,,
1968,PST,73480662.9302433,58839778.9629392,,,,,,
1968,SSA,37799984.895126,5599997.76224089,,,,,,
1968,SSF,37799984.895126,5599997.76224089,,,,,,
1968,TLA,7999999.99996948,7999999.99996948,,,,,,
1968,TSS,37799984.895126,5599997.76224089,,,,,,
1968,ZAF,37799984.895126,5599997.76224089,,,,,,
1969,AFE,39199984.3356862,2799998.88112045,,,,,,
1969,COL,6999999.99996948,7999999.99996948,,,,,,
1969,EAR,42199984.3356862,2799998.88112045,,,,,,
1969,ECS,101933701.583683,82872928.1168157,,,,,,
1969,EMU,101933701.583683,82872928.1168157,,,,,,
1969,EUU,101933701.583683,82872928.1168157,,,,,,
1969,IBD,46199984.3356557,10799998.8810899,,,,,,
1969,IBT,46199984.3356557,10799998.8810899,,,,,,
1969,ISR,3000000.0,,,,,,,
1969,LAC,6999999.99996948,7999999.99996948,,,,,,
1969,LCN,6999999.99996948,7999999.99996948,,,,,,
1969,LMY,46199984.3356557,10799998.8810899,,,,,,
1969,LTE,6999999.99996948,7999999.99996948,,,,,,
1969,MEA,3000000.0,,,,,,,
1969,MIC,46199984.3356557,10799998.8810899,,,,,,
1969,NLD,101933701.583683,82872928.1168157,,,,,,
1969,OED,111933701.583652,90872928.1167852,,,,,,
1969,PST,101933701.583683,82872928.1168157,,,,,,
1969,SSA,39199984.3356862,2799998.88112045,,,,,,
1969,SSF,39199984.3356862,2799998.88112045,,,,,,
1969,TLA,6999999.99996948,7999999.99996948,,,,,,
1969,TSS,39199984.3356862,2799998.88112045,,,,,,
1969,ZAF,39199984.3356862,2799998.88112045,,,,,,
1970,AFE,46199981.5384874,4199998.32168067,,,,,,
1970,COL,9999999.99993896,2999999.99996948,,,,,,
1970,EAR,49199981.5384874,4199998.32168067,,,,,,
1970,ECS,452452966.691509,457587770.854708,,,,,,
1970,EMU,124793370.072774,101323756.832302,,,,,,
1970,EUU,169253192.854849,116788043.017371,,,,,,
1970,GBR,283199773.83666,340799727.837337,,,,,,
1970,IBD,56199981.5384264,7199998.32165015,,,,,,
1970,IBT,56199981.5384264,7199998.32165015,,,,,,
