year,country,Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",GDP per person employed (constant 2021 PPP $),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)","Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
1960,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,
1960,NAC,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,
1960,USA,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,5.5,
1961,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,
1961,NAC,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,
1961,USA,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,6.7,
1962,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,
1962,NAC,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,,,
1962,USA,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,,5.5,
1963,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,
1963,NAC,,,,,,,,,,,,,,,,,,,,,,,12.2,,,,,,,
1963,USA,,,,,,,,,,,,,,,,,,,,,,,12.2,,,,,,5.7,
1964,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,
1964,NAC,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,
1964,USA,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,5.2,
1965,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,
1965,NAC,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,
1965,USA,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,4.5,
1966,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,
1966,NAC,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,
1966,USA,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,3.8,
