year,country,"Access to electricity, urban (% of urban population)",Population density (people per sq. km of land area),Population in the largest city (% of urban population),Population in urban agglomerations of more than 1 million (% of total population),Urban population growth (annual %),Urban population,Urban population (% of total population)
1960,ABW,,,,,,27887.0,50.776
1960,AFE,,,23.7361480633336,6.47909924493651,,18960189.0,14.5766764581838
1960,AFG,,,37.5940998690441,3.15828048632419,,759034.0,8.401
1960,AFW,,,20.8070044800931,4.86702968226714,,14361518.0,14.7100056707647
1960,AGO,,,40.1937635893707,4.19421850145289,,545923.0,10.435
1960,ALB,,,27.2805486839601,,,493982.0,30.705
1960,AND,,,,,,5559.0,58.45
1960,ARB,,,34.3567822803748,14.4766493437057,,28387309.0,31.0105359618617
1960,ARE,,,34.7653579198177,43.3947035801849,,96530.0,73.5
1960,ARG,,,45.0597719422123,41.0420461644228,,15006372.0,73.611
1960,ARM,,,56.2736039095242,28.8542982929165,,955615.0,51.275
1960,ASM,,,,,,13330.0,66.211
1960,ATG,,,,,,22050.0,39.656
1960,AUS,,,25.4785661402557,54.1999461488602,,8378309.0,81.529
1960,AUT,,,35.6646445964377,23.0821567642265,,4561167.0,64.72
1960,AZE,,,49.0159003511037,25.8132494543587,,2050961.0,52.663
1960,BDI,,,79.3604347371721,,,57414.0,2.077
1960,BEL,,,17.5424857112744,25.1023735321034,,8463316.0,92.46
1960,BEN,,,31.3005936319482,,,233478.0,9.275
1960,BFA,,,26.3256083171932,1.23730256071783,,224595.0,4.7
1960,BGD,,,19.084715499575,1.67439983977977,,2661402.0,5.135
1960,BGR,,,24.2586669297889,8.99996618948076,,2918796.0,37.1
1960,BHR,,,47.6343588727142,,,136221.0,82.32
1960,BHS,,,,,,69455.0,59.712
1960,BIH,,,27.1007962866632,,,624775.0,19.04
1960,BLR,,,20.7327366489549,6.71761405220786,,2656234.0,32.401
1960,BLZ,,,,,,49337.0,54.028
1960,BMU,,,,,,42208.0,100.0
1960,BOL,,,32.3458099934756,17.7969345192194,,1361048.0,36.762
1960,BRA,,,13.4529802653402,21.3133490981656,,33399157.0,46.139
1960,BRB,,,,,,84916.0,36.777
1960,BRN,,,,,,38343.0,43.401
1960,BTN,,,,,,8058.0,3.596
1960,BWA,,,,,,15795.0,3.06
1960,CAF,,,27.5738517470746,,,342172.0,20.1
1960,CAN,,,16.4217787616487,30.0983519452067,,12368380.0,69.061
1960,CEB,,,18.5242667366837,,,40681000.0,44.5078927143901
1960,CHE,,,14.1707430158668,10.0504577194417,,3778708.0,70.924
1960,CHI,,,,,,42883.0,38.7
1960,CHL,,,35.7975102456071,24.2836012191308,,5530907.0,67.836
1960,CHN,,,6.35175060539193,8.12274019218373,,108085352.0,16.203
1960,CIV,,,29.5394531207898,5.22227660326225,,649467.0,17.679
1960,CMR,,,21.2250597342487,4.42071099427667,,719018.0,13.937
1960,COD,,,13.009549476346,6.4211129283584,,3404061.0,22.3
1960,COG,,,37.0257353161365,17.7971330479251,,333938.0,31.601
1960,COL,,,17.5696031994766,21.0946745619003,,7220681.0,46.268
1960,COM,,,,,,24813.0,12.551
1960,CPV,,,,,,35030.0,16.679
1960,CRI,,,50.5348346235046,17.3101839854885,,454720.0,34.254
1960,CSS,,,,,,623779.0,36.4057252056577
1960,CUB,,,33.9596159269023,19.8327567762781,,4227112.0,58.401
1960,CUW,,,,,,93258.0,74.71
1960,CYM,,,,,,8428.0,100.0
1960,CYP,,,,,,208955.0,35.628
1960,CZE,,,17.5037510036635,10.4231344991869,,5717803.0,59.548
1960,DEU,,,6.27154028532122,9.50296161911916,,51978188.0,71.384
1960,DJI,,,92.308047676245,,,43292.0,50.325
1960,DMA,,,,,,22470.0,37.846
1960,DNK,,,38.0613304442756,28.0462520441182,,3374572.0,73.687
1960,DOM,,,37.22630918081,11.2389913399357,,986743.0,30.191
1960,DZA,,,25.0057376560069,7.62925121064284,,3485744.0,30.51
1960,EAP,,,12.2814851444105,,,151875891.0,16.9511618131687
1960,EAR,,,21.65643507981,10.484755380465,,221671748.0,22.8784811237719
1960,EAS,,,19.325766065966,,,235960266.0,22.6267323397035
1960,ECA,,,18.08732898735,9.93179053805444,,49471214.0,38.7021152293627
1960,ECS,,,15.7175299638424,15.0954512677671,,370485667.0,55.5531586331214
1960,ECU,,,29.3335313656126,16.8940190477186,,1555302.0,33.878
1960,EGY,,,36.1363904830705,19.2738573699554,,10184083.0,37.864
1960,EMU,,,15.6689688079155,16.1366082489548,,166408833.0,61.5989140348379
1960,ERI,,,100.0,,,95300.0,9.799
1960,ESP,,,14.3255194607685,15.9562272204892,,17227480.0,56.567
1960,EST,,,42.5065348318733,,,697034.0,57.533
1960,ETH,,,37.7538517252137,2.42870588074591,,1375163.0,6.433
1960,EUU,,,16.1063196074741,14.2577429982435,,209918553.0,58.683851278509
1960,FCS,,,19.4516921856254,6.99833965456281,,54369670.0,22.2405728418584
1960,FIN,,,18.2999373250665,10.118036840064,,2449145.0,55.29
1960,FJI,,,,,,120175.0,29.681
1960,FRA,,,25.258867488354,21.2140481240532,,29339142.0,61.88
1960,FRO,,,,,,7297.0,21.383
1960,FSM,,,,,,9608.0,22.312
1960,GAB,,,32.8150067876095,,,89133.0,17.398
1960,GBR,,,19.9387850369068,31.4158778625954,,41104656.0,78.444
1960,GEO,,,45.7139982026886,19.6885560675883,,1570123.0,43.069
1960,GHA,,,24.2540877363585,8.81492670460545,,1618622.0,23.252
1960,GIB,,,,,,21839.0,100.0
1960,GIN,,,30.1125212437209,3.15338529651657,,372463.0,10.472
1960,GMB,,,76.7755431743336,,,48281.0,12.129
1960,GNB,,,32.547926372871,,,78558.0,13.6
1960,GNQ,,,21.8211636986401,,,68901.0,25.537
1960,GRC,,,38.9166760005613,21.7684333076284,,4660434.0,55.936
1960,GRD,,,,,,28530.0,30.332
1960,GRL,,,,,,19024.0,58.534
1960,GTM,,,47.8242992132211,14.8833993043209,,1264650.0,31.121
1960,GUM,,,,,,34865.0,50.147
1960,GUY,,,,,,165103.0,29.009
1960,HKG,,,98.4112371405962,83.846383775365,,2653700.0,85.2
1960,HND,,,27.3222657374264,6.21499859363937,,469057.0,22.747
1960,HPC,,,29.488433714942,4.33752428183646,,20323558.0,12.4188743674623
1960,HRV,,,34.4197912578198,,,1248430.0,30.154
1960,HTI,,,41.1362476668212,6.41437491755094,,601647.0,15.593
1960,HUN,,,32.4449278914021,18.1402843178468,,5582136.0,55.911
1960,IBD,,,15.8295335756289,10.6806188755794,,494111316.0,26.0923620348179
1960,IBT,,,16.8583679459149,9.83276293076311,,548103154.0,23.9534263219406
1960,IDA,,,26.4058076193383,5.42011398884596,,53991838.0,13.6860535000967
1960,IDB,,,20.1074514410791,,,22492539.0,18.6193712500776
1960,IDN,,,20.7995036829721,7.9772270725073,,12878865.0,14.586
1960,IDX,,,30.8513105524368,4.15593239997745,,31499299.0,11.5086619685366
1960,IMN,,,,,,26938.0,55.123
1960,IND,,,7.56294797997638,7.80380504670725,,78146908.0,17.924
1960,IRL,,,51.7342096512333,23.3755921657357,,1278075.0,45.184
1960,IRN,,,25.854201496027,15.2756250758601,,7243051.0,33.735
